#min_run  max_run  min_mom  max_mom  slope   central_mome
20114     20154    0.0      100.0    -0.005  -74.0
20114     20154    77.5     100.0    +4.0    -77.5
20155     20174    0.0      100.0    +0.065  -74.0
20155     20174    77.5     100.0    +1.0    -77.5
20175     20203    0.0      100.0    +0.10   -74.0
20175     20203    77.0     100.0    +0.5    -77.0
20175     20203    70.0     71.5     +0.5    -71.5
20209     20226    0.0      100.0    +0.05   -74.0
20209     20226    77.0     100.0    +0.5    -77.0
20209     20226    70.0     71.5     +0.5    -71.5
20228     20256    0.0      100.0    +0.035  -74.0
20228     20256    76.8     100.0    +0.7    -76.8
20228     20256    70.0     71.6     +0.5    -71.6
20268     20291    0.0      100.0    +0.04   -74.0
20268     20291    77.0     100.0    +6.0    -77.0
20296     20303    0.0      100.0    +0.015  -74.0
20296     20303    76.9     100.0    +5.0    -76.9
20304     20324    0.0      100.0    +0.02   -74.0
20304     20324    77.2     100.0    +1.3    -77.2
20304     20324    70.0     71.5     +0.25   -71.5
20332     20351    77.3     100.0    +4.0    -77.3
20332     20351    70.0     71.0     -1.0    -71.0
20352     20371    0.0      100.0    -0.01   -74.0
20352     20371    77.3     100.0    +6.0    -77.3
20352     20371    70.0     71.0     -2.0    -71.0
20387     20404    0.0      100.0    -0.015  -74.0
20387     20404    77.3     100.0    +4.5    -77.3
20387     20404    70.0     71.0     -4.0    -71.0
20410     20424    0.0      100.0    -0.01   -74.0
20410     20424    77.5     100.0    +12.0   -77.5
20438     20453    0.0      100.0    -0.015  -74.0
20438     20453    77.5     100.0    +16.0   -77.5
20459     20478    0.0      100.0    -0.01   -74.0
20459     20478    77.4     100.0    +10.0   -77.4
20482     20485    0.0      100.0    +0.00   -74.0
20482     20485    77.3     100.0    +6.0    -77.3
20114     20154    0.0      100.0    -0.005  -74.0
20114     20154    77.5     100.0    +4.0    -77.5
20155     20174    77.5     100.0    +1.0    -77.5
20175     20203    0.0      100.0    +0.05   -74.0
20175     20203    77.0     100.0    +0.5    -77.0
20175     20203    70.5     71.5     +0.5    -71.5
20209     20226    0.0      100.0    +0.03   -74.0
20209     20226    77.0     100.0    +0.5    -77.0
20209     20226    70.0     71.5     +0.5    -71.5
20228     20256    0.0      100.0    +0.035  -74.0
20228     20256    76.8     100.0    +0.7    -76.8
20228     20256    70.0     71.6     +0.5    -71.6
20268     20291    0.0      100.0    +0.04   -74.0
20268     20291    77.0     100.0    +6.0    -77.0
20296     20303    0.0      100.0    +0.05   -74.0
20296     20303    76.9     100.0    +5.0    -76.9
20487     20531    0.0      100.0    +0.02   -74.0
20487     20531    77.0     100.0    +4.0    -77.0
20487     20531    70.0     71.5     -0.4    -71.5
